LSOA21CD,LSOA21NM,LSOA21NMW,ObjectId
E01008957,Birmingham 112E,,8626
E01009151,Birmingham 053A,,8627
E01009066,Birmingham 073A,,8628
E01009178,Birmingham 104C,,8629
E01008901,Birmingham 037C,,8630
E01009012,Birmingham 141C,,8631
E01008958,Birmingham 113C,,8632
E01009152,Birmingham 053B,,8633
E01009067,Birmingham 075B,,8634
E01009179,Birmingham 104D,,8635
E01008905,Birmingham 040A,,8636
E01009013,Birmingham 031D,,8637
E01009014,Birmingham 090A,,8638
E01009015,Birmingham 089G,,8639
E01009016,Birmingham 098A,,8640
E01009017,Birmingham 097A,,8641
E01009018,Birmingham 090B,,8642
E01009019,Birmingham 103A,,8643
E01009020,Birmingham 103B,,8644
E01009021,Birmingham 103C,,8645
E01009022,Birmingham 098B,,8646
E01009023,Birmingham 098C,,8647
E01009024,Birmingham 103D,,8648
E01009025,Birmingham 103E,,8649
E01009026,Birmingham 090C,,8650
E01009028,Birmingham 090D,,8651
E01009029,Birmingham 090E,,8652
E01009030,Birmingham 098D,,8653
E01009031,Birmingham 105C,,8654
E01009032,Birmingham 108A,,8655
E01009033,Birmingham 103F,,8656
E01009034,Birmingham 108B,,8657
E01009035,Birmingham 108C,,8658
E01009036,Birmingham 108D,,8659
E01009037,Birmingham 105D,,8660
E01009039,Birmingham 132A,,8661
E01009040,Birmingham 132B,,8662
E01009041,Birmingham 132C,,8663
E01009042,Birmingham 132D,,8664
E01009043,Birmingham 097B,,8665
E01009044,Birmingham 097C,,8666
E01009045,Birmingham 097D,,8667
E01009046,Birmingham 097E,,8668
E01009047,Birmingham 040C,,8669
E01009182,Birmingham 092A,,8670
E01009183,Birmingham 088C,,8671
E01009184,Birmingham 092B,,8672
E01009185,Birmingham 093A,,8673
E01009186,Birmingham 088D,,8674
E01009187,Birmingham 092C,,8675
E01009188,Birmingham 092D,,8676
E01009189,Birmingham 104E,,8677
E01009192,Birmingham 052B,,8678
E01009195,Birmingham 058A,,8679
E01009197,Birmingham 058C,,8680
E01009199,Birmingham 052D,,8681
E01009200,Birmingham 139A,,8682
E01009201,Birmingham 043A,,8683
E01009202,Birmingham 043B,,8684
E01009204,Birmingham 052E,,8685
E01009205,Birmingham 120A,,8686
E01009206,Birmingham 120B,,8687
E01009207,Birmingham 124B,,8688
E01009208,Birmingham 124C,,8689
E01009209,Birmingham 124D,,8690
E01009210,Birmingham 126B,,8691
E01009211,Birmingham 120C,,8692
E01009212,Birmingham 126C,,8693
E01009213,Birmingham 124E,,8694
E01009214,Birmingham 126D,,8695
E01008906,Birmingham 049A,,8696
E01009215,Birmingham 126E,,8697
E01008907,Birmingham 040B,,8698
E01009153,Birmingham 053C,,8699
E01009068,Birmingham 075C,,8700
E01009216,Birmingham 131D,,8701
E01008959,Birmingham 116A,,8702
E01008909,Birmingham 041D,,8703
E01009155,Birmingham 125B,,8704
E01009069,Birmingham 075D,,8705
E01009217,Birmingham 131E,,8706
E01008960,Birmingham 116B,,8707
E01008910,Birmingham 050A,,8708
E01009157,Birmingham 125D,,8709
E01009070,Birmingham 073B,,8710
E01009218,Birmingham 120D,,8711
E01008961,Birmingham 116C,,8712
E01008911,Birmingham 049B,,8713
E01009158,Birmingham 129A,,8714
E01009071,Birmingham 087B,,8715
E01009219,Birmingham 120E,,8716
E01008962,Birmingham 116D,,8717
E01008913,Birmingham 050B,,8718
E01009159,Birmingham 130A,,8719
E01009072,Birmingham 075E,,8720
E01008963,Birmingham 107B,,8721
E01008915,Birmingham 030A,,8722
E01009073,Birmingham 085A,,8723
E01008964,Birmingham 107C,,8724
E01008916,Birmingham 037E,,8725
E01009074,Birmingham 085B,,8726
E01008965,Birmingham 107D,,8727
E01008917,Birmingham 102A,,8728
E01009075,Birmingham 087C,,8729
E01008966,Birmingham 107E,,8730
E01008918,Birmingham 094A,,8731
E01009077,Birmingham 095C,,8732
E01008967,Birmingham 110A,,8733
E01008968,Birmingham 110B,,8734
E01008969,Birmingham 117C,,8735
E01008970,Birmingham 110C,,8736
E01008971,Birmingham 117D,,8737
E01008972,Birmingham 118A,,8738
E01008973,Birmingham 118B,,8739
E01008974,Birmingham 118C,,8740
E01008975,Birmingham 118D,,8741
E01008976,Birmingham 121A,,8742
E01008977,Birmingham 123A,,8743
E01008978,Birmingham 121B,,8744
E01008979,Birmingham 121C,,8745
E01008980,Birmingham 121D,,8746
E01008981,Birmingham 110D,,8747
E01008982,Birmingham 079A,,8748
E01008984,Birmingham 074A,,8749
E01008986,Birmingham 064A,,8750
E01008987,Birmingham 064B,,8751
E01008988,Birmingham 064C,,8752
E01008989,Birmingham 064D,,8753
E01008990,Birmingham 064E,,8754
E01008991,Birmingham 064F,,8755
E01008992,Birmingham 079C,,8756
E01009078,Birmingham 087E,,8757
E01009079,Birmingham 141G,,8758
